name,category,address,lat,lng,benefitValue,discountPercent,benefit_source_url,benefit_note,address_enriched
로라케이크,카페,인천광역시 부평구 갈산동 378-8 1층 일부,37.50840664,126.7256625,,,,,"인천광역시 부평구 주부토로 149, 1층 일부호 (갈산동)"
꽁뜨베이커리,카페,인천광역시 부평구 부평동 950 상가동 112호,37.50275025,126.7226169,,,,,"인천광역시 부평구 주부토로81번길 50, 상가동 1층 112호 (부평동)"
뚜레쥬르 롯데마트부평역점,카페,"인천광역시 부평구 부평동 738-21 부평민자역사 본건물 나호, 롯데마트부평역점 3층 일부 ",37.48956767,126.7233506,,,,,"인천광역시 부평구 광장로 16, 부평민자역사 본건물 나호, 롯데마트부평역점 3층 일부 (부평동)"
송사부쌀고롯케,카페,인천광역시 부평구 부평동 738-21 부평민자역사,37.48956767,126.7233506,,,,,"인천광역시 부평구 광장로 16, 부평민자역사 지하1층 20호, 31호 (부평동)"
베아또과자점,카페,인천광역시 부평구 청천동 302 1층 일부,37.50735831,126.7189475,,,,,"인천광역시 부평구 길주로 510, 1층 일부호 (청천동)"
폼드팡베이커리삼산점,카페,인천광역시 부평구 삼산동 465-1 대덕리치아노,37.50789306,126.7320158,,,,,"인천광역시 부평구 길주로 623, 롯데마트 지하1층 B104호 일부호 (삼산동)"
보시엘드파리 과자점,카페,인천광역시 부평구 청천동 191-9 1층 일부,37.5123283,126.708673,,,,,"인천광역시 부평구 세월천로 9, 1층 일부호 (청천동)"
스마일박스,카페,인천광역시 부평구 갈산동 378-12,37.50822827,126.7252087,,,,,"인천광역시 부평구 주부토로145번길 10, 1층 일부호 (갈산동)"
브라운아지트,카페,인천광역시 부평구 부평동 890-4 1층 일부,37.50478154,126.7257354,,,,,"인천광역시 부평구 길주남로 35, 1층 일부호 (부평동)"
김쉐프제빵소,카페,인천광역시 부평구 일신동 106-1 대한빌딩,37.48486952,126.7427548,,,,,"인천광역시 부평구 경인로1104번길 13-14, 대한빌딩 1층 일부호 (일신동)"
베어리스튜디오,카페,인천광역시 부평구 부평동 950 상가동 103호,37.50275025,126.7226169,,,,,"인천광역시 부평구 주부토로81번길 50, 상가동 1층 103호 (부평동)"
크림380(Cream380),카페,인천광역시 부평구 갈산동 380-4 1층 일부,37.50792084,126.7239688,,,,,"인천광역시 부평구 길주로547번길 8-13, 1층 일부호 (갈산동)"
기쁨이네,카페,인천광역시 부평구 청천동 112 갈산역,37.51681674,126.7215306,,,,,"인천광역시 부평구 부평대로 지하 286, 갈산역사내 지하1층 5호 (청천동)"
라 크루뜨,카페,인천광역시 부평구 부평동 645-34 서보타운,37.48710139,126.7263081,,,,,"인천광역시 부평구 경인로 960, 서보타운 106호 (부평동)"
명인빵지순례1984 갈산점,카페,인천광역시 부평구 갈산동 379-5,37.5079675,126.7251223,,,,,"인천광역시 부평구 길주로565번길 13, 1층 일부호 (갈산동)"
엠버케이크,카페,"인천광역시 부평구 부평동 341-173 외1필지, 1층 101호 일부 ",37.49189542,126.7191142,,,,,"인천광역시 부평구 부평문화로 14, 1층 101호 일부 (부평동)"
소소앙금,카페,인천광역시 부평구 부평동 212-99,37.49463736,126.7233567,,,,,"인천광역시 부평구 부평대로36번길 7, 2층 (부평동)"
냠냠파운드,카페,인천광역시 부평구 십정동 572-2 이레하이니스 101호,37.48062971,126.710166,,,,,"인천광역시 부평구 마장로 18, 1층 101호 (십정동, 이레하이니스)"
한샘마트,카페,인천광역시 부평구 갈산동 450-6 1층 일부호,37.52340265,126.731552,,,,,"인천광역시 부평구 부평북로 343, 1층 일부호 (갈산동)"
비유어페이보릿,카페,"인천광역시 부평구 부평동 539-2 외10필지, 부평 현대 더로프트 3동 205-2호",37.48952037,126.728913,,,,,"인천광역시 부평구 장제로 45, 부평 현대 더로프트 3동 2층 205-2호 (부평동)"
핑케이크,카페,인천광역시 부평구 산곡동 411-30 1층 일부호,37.50423788,126.7119586,,,,,"인천광역시 부평구 원적로403번길 10-12, 1층 일부호 (산곡동)"
봄날같은오븐,카페,인천광역시 부평구 부평동 954 부평구청역대명벨리온 246호,37.50509643,126.7208454,,,,,"인천광역시 부평구 부평대로 153, 부평구청역대명벨리온 2층 246호 (부평동)"
정직한제빵공장,카페,인천광역시 부평구 청천동 424-9 TECHNO PAKR M2,37.51710669,126.7184175,,,,,"인천광역시 부평구 평천로255번길 13, TECHNO PAKR M2 1층 123,124호 (청천동)"
샹스베이커리(Chance bakery),카페,인천광역시 부평구 십정동 484-3 1층,37.47052932,126.7062214,,,,,"인천광역시 부평구 동암남로 24-1, 1층 (십정동)"
헤이븐케이크,카페,인천광역시 부평구 부평동 950 상가동 210호,37.50275025,126.7226169,,,,,"인천광역시 부평구 주부토로81번길 50, 상가동 2층 210호 (부평동)"
마크빈부개점,카페,인천광역시 부평구 부개동 191-4 1층 일부호,37.49303184,126.7402973,,,,,"인천광역시 부평구 부평문화로 216, 1층 일부호 (부개동)"
초이스케이크,카페,인천광역시 부평구 부평동 542-69 성원빌딩 1층 일부호,37.49598842,126.7210581,,,,,"인천광역시 부평구 부평대로51번길 26, 성원빌딩 1층 일부호 (부평동)"
베이커리스트(Bakerest),카페,인천광역시 부평구 산곡동 263-50 1층 일부호,37.50062684,126.7054182,,,,,"인천광역시 부평구 부흥로123번길 43, 1층 일부호 (산곡동)"
뚜레쥬르 부평더샵,카페,"인천광역시 부평구 십정동 289-8 더샵부평센트럴시티 상가동 G동 117,118호 ",37.47736242,126.7009931,,,,,"인천광역시 부평구 열우물로 90, 상가동 G동 1층 117,118호 (십정동, 더샵부평센트럴시티)"
파리바게뜨 동암역더샵,카페,"인천광역시 부평구 십정동 289-8 더샵부평센트럴시티 상가동 F동 113,114호 ",37.47736242,126.7009931,,,,,"인천광역시 부평구 열우물로 90, 상가동 F동 1층 113,114호 (십정동, 더샵부평센트럴시티)"
고망고,카페,인천광역시 부평구 부평동 182-79 1층,37.49068185,126.7267175,,,,,"인천광역시 부평구 광장로30번길 37, 1층 (부평동)"
향이케이크,카페,인천광역시 부평구 부평동 10-585,37.50514097,126.7301627,,,,,"인천광역시 부평구 길주남로77번길 19, 1층 일부호 (부평동)"
하트도씨,카페,인천광역시 부평구 부개동 478-2 1,37.50555717,126.7314035,,,,,"인천광역시 부평구 장제로 224-1, 1층 (부개동)"
베아또 과자점,카페,인천광역시 부평구 부평동 436-15 센트럴아파트 105호,37.50130865,126.7228135,,,,,"인천광역시 부평구 부흥북로6번길 5, 센트럴아파트 1층 105호 (부평동)"
조아베이커리,카페,인천광역시 부평구 산곡동 311-67 1층 일부,37.49276511,126.7050102,,,,,"인천광역시 부평구 화랑남로5번길 7, 1층 일부호 (산곡동)"
명인빵지순례1984 삼산점,카페,인천광역시 부평구 삼산동 391-3 미래타워 109호 일부,37.52068338,126.7454438,,,,,"인천광역시 부평구 영성중로 50, 미래타워 109호 일부호 (삼산동)"
차츰차츰,카페,인천광역시 부평구 삼산동 117-25 1층 일부,37.51969624,126.7452766,,,,,"인천광역시 부평구 영성중로36번길 3, 1층 일부호 (삼산동)"
뚜레쥬르 신일해피트리점,카페,"인천광역시 부평구 산곡동 180-104 더루츠스퀘어 1층 111, 112호 ",37.50482521,126.6991503,,,,,"인천광역시 부평구 원적로 295, 더루츠스퀘어 1층 111, 112호 (산곡동)"
주제,카페,인천광역시 부평구 부평동 882-8 1층 일부호,37.50556308,126.7234962,,,,,"인천광역시 부평구 신트리로22번길 6, 1층 일부호 (부평동)"
베이커리코너 부평점,카페,인천광역시 부평구 산곡동 159-52 롯데마트 부평점 지하1층 일부,37.50501182,126.7040748,,,,,"인천광역시 부평구 마장로 296, 롯데마트 부평점 지하1층 일부 (산곡동)"
나우커피인천시달맞이점,카페,인천광역시?남동구?논현동 633-1?달맞이마을휴먼시아5단지?상가,37.40267158,126.7182542,,,,,"인천광역시 남동구 논현로 107, 달맞이마을휴먼시아5단지 상가 1층 107호 (논현동)"
나우커피인천장수점,카페,인천 남동구 장수동 806-3,37.45172651,126.7496178,,,,,인천 남동구 장수로 25
